Player,Age,Pos,Date,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
Nick Young,32-209,G-F,2017-12-27 *,GSW,,UTA,W,0,22,6,9,.667,3,5,.600,3,4,.750,0,0,,0,1,1,1,0,0,0,1,15,11.7
Thaddeus Young,29-201,F,2018-01-08 *,IND,,MIL,W,1,31,7,12,.583,6,9,.667,1,3,.333,0,1,.000,1,7,8,1,0,0,5,3,15,6.3
Thaddeus Young,29-132,F,2017-10-31 *,IND,,SAC,W,1,27,6,12,.500,4,7,.571,2,5,.400,1,2,.500,1,3,4,0,4,0,0,1,15,13.8
Thaddeus Young,29-135,F,2017-11-03 *,IND,@,PHI,L,1,38,7,14,.500,6,9,.667,1,5,.200,0,0,,2,3,5,1,1,1,0,4,15,11.1
Ante Zizic,21-066,F-C,2018-03-11 *,CLE,@,LAL,L,0,20,7,9,.778,7,9,.778,0,0,,1,2,.500,2,5,7,0,0,2,1,1,15,14.0
Alex Abrines,24-134,G-F,2017-12-13 *,OKC,@,IND,W,1,32,5,8,.625,1,2,.500,4,6,.667,0,0,,1,3,4,1,1,0,1,3,14,11.5
Alex Abrines,24-185,G-F,2018-02-02 *,OKC,,NOP,L,0,24,4,8,.500,0,0,,4,8,.500,2,2,1.000,0,1,1,0,0,0,0,3,14,9.1
Alex Abrines,24-101,G-F,2017-11-10 *,OKC,,LAC,W,0,21,4,5,.800,1,1,1.000,3,4,.750,3,4,.750,1,2,3,0,0,0,0,1,14,12.6
Quincy Acy,27-086,F,2017-12-31 *,BRK,@,BOS,L,0,24,5,9,.556,3,5,.600,2,4,.500,2,2,1.000,1,3,4,1,0,0,1,2,14,10.2
Quincy Acy,27-072,F,2017-12-17 *,BRK,,IND,L,0,23,5,10,.500,1,3,.333,4,7,.571,0,0,,0,2,2,0,1,1,0,2,14,10.5
Steven Adams,24-243,C,2018-03-20 *,OKC,@,BOS,L,1,37,4,7,.571,4,7,.571,0,0,,6,10,.600,3,4,7,2,0,0,1,1,14,12.4
Steven Adams,24-219,C,2018-02-24 *,OKC,@,GSW,L,1,34,6,9,.667,6,9,.667,0,0,,2,5,.400,2,5,7,3,2,2,1,2,14,15.5
Steven Adams,24-201,C,2018-02-06 *,OKC,@,GSW,W,1,26,7,9,.778,7,9,.778,0,0,,0,3,.000,3,7,10,0,3,0,2,4,14,12.9
Steven Adams,24-110,C,2017-11-07 *,OKC,@,SAC,L,1,29,4,5,.800,4,5,.800,0,0,,6,6,1.000,2,4,6,0,5,1,3,4,14,15.8
Steven Adams,24-103,C,2017-10-31 *,OKC,@,MIL,W,1,27,7,10,.700,7,10,.700,0,0,,0,0,,3,8,11,2,1,0,1,2,14,14.9
Steven Adams,24-177,C,2018-01-13 *,OKC,@,CHO,W,1,31,7,11,.636,7,11,.636,0,0,,0,0,,7,4,11,1,3,4,3,5,14,16.7
Steven Adams,24-125,C,2017-11-22 *,OKC,,GSW,W,1,37,4,8,.500,4,8,.500,0,0,,6,8,.750,6,6,12,0,2,0,3,2,14,13.4
Bam Adebayo,20-146,C-F,2017-12-11 *,MIA,@,MEM,W,0,23,5,6,.833,5,6,.833,0,0,,4,5,.800,0,4,4,2,2,2,0,5,14,15.4
Bam Adebayo,20-250,C-F,2018-03-25 *,MIA,@,IND,L,1,21,5,7,.714,5,7,.714,0,0,,4,4,1.000,2,3,5,0,0,1,3,5,14,9.1
Bam Adebayo,20-157,C-F,2017-12-22 *,MIA,,DAL,W,1,37,6,9,.667,6,9,.667,0,0,,2,2,1.000,1,7,8,5,1,0,1,3,14,15.2
LaMarcus Aldridge,32-115,F-C,2017-11-11 *,SAS,,CHI,W,1,21,7,11,.636,7,11,.636,0,0,,0,0,,4,3,7,3,0,2,1,0,14,15.3
LaMarcus Aldridge,32-107,F-C,2017-11-03 *,SAS,,CHO,W,1,32,4,12,.333,3,11,.273,1,1,1.000,5,6,.833,3,4,7,3,0,1,2,4,14,9.3
Jarrett Allen,19-289,F-C,2018-02-04 *,BRK,,MIL,L,1,27,7,11,.636,7,11,.636,0,0,,0,0,,1,6,7,0,0,0,1,2,14,9.8
Jarrett Allen,19-262,F-C,2018-01-08 *,BRK,,TOR,L,0,18,5,5,1.000,5,5,1.000,0,0,,4,6,.667,3,2,5,0,0,0,2,4,14,10.8
Al-Farouq Aminu,27-117,F,2018-01-16 *,POR,,PHO,W,1,28,5,12,.417,1,5,.200,4,7,.571,0,0,,3,6,9,1,0,1,0,0,14,12.9
Al-Farouq Aminu,27-106,F,2018-01-05 *,POR,,ATL,W,1,28,5,10,.500,4,4,1.000,1,6,.167,3,4,.750,0,4,4,3,0,1,1,1,14,11.2
Kyle Anderson,24-066,F-G,2017-11-25 *,SAS,@,CHO,W,1,31,6,8,.750,6,8,.750,0,0,,2,2,1.000,1,4,5,3,5,0,2,0,14,17.8
Kyle Anderson,24-105,F-G,2018-01-03 *,SAS,@,PHI,L,1,36,7,8,.875,7,8,.875,0,0,,0,0,,0,7,7,2,1,2,5,4,14,10.5
Ryan Anderson,29-230,F,2017-12-22 *,HOU,,LAC,L,1,35,3,7,.429,1,3,.333,2,4,.500,6,6,1.000,2,8,10,2,0,1,1,3,14,14.0
Ryan Anderson,29-316,F,2018-03-18 *,HOU,@,MIN,W,0,17,4,6,.667,0,1,.000,4,5,.800,2,2,1.000,0,0,0,2,0,0,0,3,14,11.6
Ryan Anderson,29-172,F,2017-10-25 *,HOU,@,PHI,W,1,35,5,11,.455,1,2,.500,4,9,.444,0,0,,0,1,1,0,1,1,1,0,14,9.3
Giannis Antetokounmpo,22-330,F-G,2017-11-01 *,MIL,@,CHO,L,1,32,5,16,.313,5,14,.357,0,2,.000,4,4,1.000,1,12,13,5,2,2,3,5,14,11.0
Carmelo Anthony,33-190,F,2017-12-05 *,OKC,,UTA,W,1,35,6,19,.316,6,14,.429,0,5,.000,2,2,1.000,1,8,9,1,2,1,0,1,14,9.2
Carmelo Anthony,33-277,F,2018-03-02 *,OKC,@,PHO,W,1,31,6,18,.333,6,15,.400,0,3,.000,2,2,1.000,4,4,8,2,0,0,1,3,14,7.0
Carmelo Anthony,33-271,F,2018-02-24 *,OKC,@,GSW,L,1,30,6,17,.353,5,11,.455,1,6,.167,1,2,.500,1,4,5,1,1,0,2,3,14,4.5
Carmelo Anthony,33-223,F,2018-01-07 *,OKC,@,PHO,L,1,32,6,14,.429,5,9,.556,1,5,.200,1,1,1.000,0,4,4,1,1,1,0,1,14,9.8
Carmelo Anthony,33-165,F,2017-11-10 *,OKC,,LAC,W,1,31,5,12,.417,4,7,.571,1,5,.200,3,5,.600,2,4,6,3,0,1,0,4,14,10.6
Trevor Ariza,32-152,F,2017-11-29 *,HOU,,IND,W,1,26,5,7,.714,1,2,.500,4,5,.800,0,0,,1,1,2,1,3,0,3,1,14,12.4
Trevor Ariza,32-268,F,2018-03-25 *,HOU,,ATL,W,1,31,4,14,.286,0,3,.000,4,11,.364,2,2,1.000,0,4,4,0,0,0,1,2,14,5.2
Trevor Ariza,32-128,F,2017-11-05 *,HOU,,UTA,W,1,34,5,10,.500,1,2,.500,4,8,.500,0,0,,1,0,1,2,2,0,0,1,14,12.7
Trevor Ariza,32-240,F,2018-02-25 *,HOU,@,DEN,W,1,33,5,7,.714,2,3,.667,3,4,.750,1,2,.500,0,6,6,0,1,0,0,0,14,13.5
D.J. Augustin,30-035,G,2017-12-15 *,ORL,,POR,L,0,28,4,10,.400,0,3,.000,4,7,.571,2,2,1.000,0,3,3,4,1,0,2,2,14,10.5
D.J. Augustin,30-040,G,2017-12-20 *,ORL,@,CHI,L,0,28,3,6,.500,0,1,.000,3,5,.600,5,5,1.000,0,0,0,1,3,0,3,1,14,11.3
D.J. Augustin,30-138,G,2018-03-28 *,ORL,,BRK,L,1,32,4,10,.400,1,5,.200,3,5,.600,3,4,.750,1,0,1,3,1,0,1,3,14,9.8
D.J. Augustin,30-015,G,2017-11-25 *,ORL,@,PHI,L,0,17,5,10,.500,2,5,.400,3,5,.600,1,1,1.000,0,0,0,1,0,0,1,1,14,8.3
J.J. Barea,33-131,G,2017-11-04 *,DAL,@,MIN,L,0,19,5,9,.556,5,7,.714,0,2,.000,4,5,.800,0,4,4,6,0,0,3,0,14,11.7
J.J. Barea,33-121,G,2017-10-25 *,DAL,,MEM,W,0,19,5,10,.500,2,6,.333,3,4,.750,1,2,.500,1,4,5,4,2,0,3,2,14,11.5
J.J. Barea,33-171,G,2017-12-14 *,DAL,@,GSW,L,0,26,6,9,.667,4,5,.800,2,4,.500,0,0,,0,2,2,6,0,0,2,2,14,12.1
J.J. Barea,33-186,G,2017-12-29 *,DAL,@,NOP,W,0,24,5,10,.500,2,5,.400,3,5,.600,1,2,.500,1,1,2,9,1,1,4,1,14,13.2
Harrison Barnes,25-144,F,2017-10-21 *,DAL,@,HOU,L,1,31,5,17,.294,4,14,.286,1,3,.333,3,3,1.000,3,2,5,2,1,0,3,1,14,5.8
Harrison Barnes,25-141,F,2017-10-18 *,DAL,,ATL,L,1,38,3,13,.231,3,7,.429,0,6,.000,8,9,.889,1,6,7,3,1,0,2,0,14,9.3
Harrison Barnes,25-155,F,2017-11-01 *,DAL,@,LAC,L,1,31,6,11,.545,5,7,.714,1,4,.250,1,2,.500,0,4,4,2,2,0,2,3,14,9.7
Harrison Barnes,25-285,F,2018-03-11 *,DAL,,HOU,L,1,32,4,16,.250,2,10,.200,2,6,.333,4,8,.500,0,5,5,3,0,0,0,1,14,6.0
Will Barton,26-358,G,2017-12-30 *,DEN,,PHI,L,0,31,5,15,.333,4,7,.571,1,8,.125,3,4,.750,1,6,7,5,2,2,0,1,14,14.1
Nicolas Batum,29-039,F-G,2018-01-22 *,CHO,,SAC,W,1,35,6,13,.462,5,8,.625,1,5,.200,1,1,1.000,1,5,6,3,0,0,2,0,14,9.6
Nicolas Batum,29-032,F-G,2018-01-15 *,CHO,@,DET,W,1,34,4,13,.308,3,9,.333,1,4,.250,5,6,.833,2,6,8,5,2,0,4,2,14,10.0
Nicolas Batum,29-078,F-G,2018-03-02 *,CHO,@,PHI,L,1,36,5,9,.556,2,4,.500,3,5,.600,1,2,.500,2,11,13,8,1,0,2,1,14,18.2
Nicolas Batum,29-062,F-G,2018-02-14 *,CHO,@,ORL,W,1,32,5,11,.455,1,4,.250,4,7,.571,0,0,,1,4,5,7,1,0,2,0,14,14.1
Nicolas Batum,29-008,F-G,2017-12-22 *,CHO,@,MIL,L,1,32,5,7,.714,3,4,.750,2,3,.667,2,2,1.000,0,1,1,6,0,0,3,2,14,11.8
Jerryd Bayless,29-132,G,2017-12-30 *,PHI,@,DEN,W,0,20,6,10,.600,4,7,.571,2,3,.667,0,0,,1,0,1,0,1,0,2,1,14,8.7
Jerryd Bayless,29-097,G,2017-11-25 *,PHI,,ORL,W,0,23,5,11,.455,3,6,.500,2,5,.400,2,2,1.000,0,2,2,4,2,0,1,2,14,11.9
Jerryd Bayless,29-101,G,2017-11-29 *,PHI,,WAS,W,0,26,4,7,.571,4,6,.667,0,1,.000,6,8,.750,1,0,1,4,0,0,1,0,14,12.4
Jerryd Bayless,29-117,G,2017-12-15 *,PHI,,OKC,L,0,21,4,7,.571,0,1,.000,4,6,.667,2,3,.667,0,0,0,1,0,0,1,1,14,9.6
Jerryd Bayless,29-073,G,2017-11-01 *,PHI,,ATL,W,0,31,5,9,.556,3,4,.750,2,5,.400,2,2,1.000,1,1,2,3,1,1,0,3,14,13.3
Kent Bazemore,28-193,G-F,2018-01-10 *,ATL,@,DEN,W,1,28,5,7,.714,3,3,1.000,2,4,.500,2,2,1.000,0,5,5,1,0,1,2,1,14,11.6
Kent Bazemore,28-127,G-F,2017-11-05 *,ATL,@,CLE,W,1,35,4,11,.364,2,5,.400,2,6,.333,4,8,.500,2,7,9,7,1,2,1,3,14,14.9
Kent Bazemore,28-144,G-F,2017-11-22 *,ATL,,LAC,L,1,28,5,9,.556,1,3,.333,4,6,.667,0,0,,1,4,5,0,1,0,4,2,14,7.8
Kent Bazemore,28-248,G-F,2018-03-06 *,ATL,@,TOR,L,1,28,6,8,.750,4,5,.800,2,3,.667,0,0,,0,1,1,5,2,0,4,3,14,11.4
Bradley Beal,24-255,G,2018-03-10 *,WAS,@,MIA,L,1,27,5,12,.417,4,10,.400,1,2,.500,3,3,1.000,1,2,3,1,0,1,3,0,14,7.3
Bradley Beal,24-138,G,2017-11-13 *,WAS,,SAC,W,1,33,5,11,.455,4,5,.800,1,6,.167,3,3,1.000,0,7,7,7,1,0,3,2,14,12.5
Bradley Beal,24-270,G,2018-03-25 *,WAS,,NYK,L,1,39,5,17,.294,4,11,.364,1,6,.167,3,4,.750,0,3,3,2,2,0,1,2,14,6.2
Michael Beasley,28-331,F,2017-12-06 *,NYK,,MEM,W,0,18,5,7,.714,4,6,.667,1,1,1.000,3,4,.750,1,3,4,2,1,0,1,1,14,13.3
Marco Belinelli,31-230,G-F,2017-11-10 *,ATL,@,DET,L,0,30,6,16,.375,4,9,.444,2,7,.286,0,0,,0,1,1,1,2,0,0,1,14,7.8
Marco Belinelli,31-280,G-F,2017-12-30 *,ATL,,POR,W,0,21,5,10,.500,3,6,.500,2,4,.500,2,3,.667,0,1,1,2,2,0,1,1,14,10.9
Marco Belinelli,31-233,G-F,2017-11-13 *,ATL,@,NOP,L,0,27,5,10,.500,1,4,.250,4,6,.667,0,0,,0,3,3,3,4,0,2,0,14,14.0
Marco Belinelli,31-348,G-F,2018-03-08 *,PHI,@,MIA,L,0,30,5,11,.455,2,4,.500,3,7,.429,1,1,1.000,0,0,0,1,0,0,1,2,14,7.2
Marco Belinelli,31-279,G-F,2017-12-29 *,ATL,@,TOR,L,0,27,5,11,.455,3,6,.500,2,5,.400,2,2,1.000,0,0,0,3,1,0,1,1,14,10.0
Marco Belinelli,32-003,G-F,2018-03-28 *,PHI,,NYK,W,0,25,4,7,.571,2,4,.500,2,3,.667,4,4,1.000,0,2,2,2,1,0,1,4,14,11.1
Marco Belinelli,31-265,G-F,2017-12-15 *,ATL,@,MEM,L,0,21,5,9,.556,3,3,1.000,2,6,.333,2,2,1.000,0,3,3,0,0,0,2,0,14,8.6
Dragan Bender,20-056,F,2018-01-12 *,PHO,,HOU,L,1,32,5,12,.417,2,6,.333,3,6,.500,1,1,1.000,1,7,8,2,0,2,0,3,14,12.0
Davis Bertans,25-118,F,2018-03-10 *,SAS,@,OKC,L,0,18,4,6,.667,1,1,1.000,3,5,.600,3,3,1.000,0,1,1,0,1,1,1,5,14,10.4
Patrick Beverley,29-110,G,2017-10-30 *,LAC,,GSW,L,1,26,5,11,.455,1,5,.200,4,6,.667,0,0,,0,2,2,4,0,0,2,3,14,8.5
Bismack Biyombo,25-135,C-F,2018-01-10 *,ORL,@,MIL,L,1,25,5,7,.714,5,7,.714,0,0,,4,4,1.000,2,7,9,2,1,0,0,3,14,15.8
Nemanja Bjelica,29-323,F,2018-03-28 *,MIN,,ATL,W,1,37,6,8,.750,4,4,1.000,2,4,.500,0,0,,0,6,6,3,1,0,1,2,14,13.9
Antonio Blakeney,21-158,G,2018-03-11 *,CHI,@,ATL,W,0,19,6,9,.667,4,6,.667,2,3,.667,0,0,,0,3,3,1,1,0,0,2,14,11.9
Eric Bledsoe,28-004,G,2017-12-13 *,MIL,@,NOP,L,1,32,5,14,.357,2,6,.333,3,8,.375,1,2,.500,1,2,3,5,4,0,5,1,14,9.2
Eric Bledsoe,28-093,G,2018-03-12 *,MIL,@,MEM,W,1,24,6,13,.462,4,9,.444,2,4,.500,0,1,.000,2,4,6,5,2,0,3,5,14,10.0
Eric Bledsoe,28-048,G,2018-01-26 *,MIL,,BRK,W,1,30,5,16,.313,2,9,.222,3,7,.429,1,1,1.000,0,1,1,4,2,0,2,2,14,7.1
Eric Bledsoe,28-066,G,2018-02-13 *,MIL,,ATL,W,1,35,5,14,.357,3,8,.375,2,6,.333,2,2,1.000,1,2,3,9,1,3,6,3,14,9.7
Eric Bledsoe,28-108,G,2018-03-27 *,MIL,@,LAC,L,1,34,6,10,.600,6,7,.857,0,3,.000,2,3,.667,1,8,9,6,2,0,6,3,14,11.1
Eric Bledsoe,27-341,G,2017-11-15 *,MIL,,DET,W,1,30,4,12,.333,3,8,.375,1,4,.250,5,6,.833,2,4,6,8,3,2,1,3,14,17.2
Eric Bledsoe,27-346,G,2017-11-20 *,MIL,,WAS,L,1,35,6,13,.462,5,9,.556,1,4,.250,1,2,.500,1,2,3,2,6,2,3,2,14,13.2
Eric Bledsoe,28-042,G,2018-01-20 *,MIL,@,PHI,L,1,38,5,18,.278,4,12,.333,1,6,.167,3,5,.600,0,0,0,3,5,1,3,2,14,6.6
Bogdan Bogdanovic,25-193,G,2018-02-27 *,SAC,@,POR,L,1,32,6,14,.429,4,8,.500,2,6,.333,0,0,,0,1,1,4,2,0,2,0,14,9.7
Bogdan Bogdanovic,25-208,G,2018-03-14 *,SAC,,MIA,W,1,32,5,14,.357,3,9,.333,2,5,.400,2,2,1.000,1,2,3,3,0,0,1,1,14,8.2
Bogdan Bogdanovic,25-096,G,2017-11-22 *,SAC,,LAL,W,0,27,6,9,.667,4,6,.667,2,3,.667,0,0,,0,1,1,7,2,0,3,3,14,13.1
Bogdan Bogdanovic,25-124,G,2017-12-20 *,SAC,@,BRK,W,1,33,6,10,.600,6,9,.667,0,1,.000,2,4,.500,0,3,3,2,0,0,1,3,14,8.7
Bogdan Bogdanovic,25-078,G,2017-11-04 *,SAC,@,DET,L,1,27,6,7,.857,4,5,.800,2,2,1.000,0,0,,0,1,1,1,0,0,1,0,14,11.5
Bojan Bogdanovic,28-271,G-F,2018-01-14 *,IND,@,PHO,W,1,21,4,10,.400,2,5,.400,2,5,.400,4,4,1.000,0,0,0,0,0,0,1,1,14,7.2
Bojan Bogdanovic,28-327,G-F,2018-03-11 *,IND,@,BOS,W,1,29,4,7,.571,0,2,.000,4,5,.800,2,2,1.000,0,3,3,3,0,1,1,2,14,12.6
Bojan Bogdanovic,28-183,G-F,2017-10-18 *,IND,,BRK,W,1,29,5,9,.556,4,6,.667,1,3,.333,3,3,1.000,0,0,0,0,0,0,3,2,14,5.9
Bojan Bogdanovic,28-302,G-F,2018-02-14 *,IND,@,BRK,W,1,37,5,11,.455,3,5,.600,2,6,.333,2,2,1.000,0,5,5,1,2,0,2,2,14,9.7
Bojan Bogdanovic,28-203,G-F,2017-11-07 *,IND,,NOP,L,1,23,6,9,.667,4,5,.800,2,4,.500,0,0,,0,3,3,1,1,0,0,1,14,12.3
Bojan Bogdanovic,28-318,G-F,2018-03-02 *,IND,@,MIL,W,1,29,1,4,.250,1,3,.333,0,1,.000,12,13,.923,0,4,4,4,0,0,2,1,14,12.8
Devin Booker,21-084,G,2018-01-22 *,PHO,@,MIL,L,1,36,2,14,.143,1,8,.125,1,6,.167,9,9,1.000,0,4,4,8,3,0,5,4,14,8.2
Trevor Booker,29-331,F,2017-10-22 *,BRK,,ATL,W,0,28,6,11,.545,6,11,.545,0,0,,2,4,.500,2,4,6,4,1,0,2,2,14,11.5
Trevor Booker,29-357,F,2017-11-17 *,BRK,,UTA,W,1,27,7,10,.700,7,8,.875,0,2,.000,0,2,.000,1,4,5,3,0,0,2,2,14,10.2
Avery Bradley,26-347,G,2017-11-08 *,DET,,IND,W,1,29,4,11,.364,2,6,.333,2,5,.400,4,4,1.000,0,3,3,0,1,1,4,4,14,4.9
Corey Brewer,32-024,F-G,2018-03-29 *,OKC,@,SAS,L,1,29,5,8,.625,4,4,1.000,1,4,.250,3,4,.750,1,1,2,3,2,0,1,4,14,12.5
Malcolm Brogdon,24-346,G,2017-11-22 *,MIL,@,PHO,W,1,41,6,14,.429,5,9,.556,1,5,.200,1,1,1.000,0,3,3,3,2,0,1,4,14,9.0
Malcolm Brogdon,25-011,G,2017-12-22 *,MIL,,CHO,W,0,31,5,11,.455,3,8,.375,2,3,.667,2,2,1.000,0,6,6,4,1,1,1,2,14,12.8
Malcolm Brogdon,25-030,G,2018-01-10 *,MIL,,ORL,W,1,37,6,10,.600,5,7,.714,1,3,.333,1,2,.500,1,8,9,7,0,2,0,3,14,17.2
Malcolm Brogdon,24-362,G,2017-12-08 *,MIL,,DAL,W,0,41,6,10,.600,5,6,.833,1,4,.250,1,1,1.000,0,3,3,6,1,0,1,4,14,12.9
Dillon Brooks,22-058,G-F,2018-03-21 *,MEM,@,PHI,L,1,22,6,9,.667,5,6,.833,1,3,.333,1,2,.500,0,0,0,1,1,0,4,1,14,7.0
Dillon Brooks,21-328,G-F,2017-12-16 *,MEM,,BOS,L,1,35,5,12,.417,1,7,.143,4,5,.800,0,0,,0,1,1,1,0,0,0,0,14,8.6
Dillon Brooks,22-023,G-F,2018-02-14 *,MEM,,OKC,L,1,39,6,15,.400,4,9,.444,2,6,.333,0,0,,0,5,5,3,1,0,0,1,14,10.1
Jaylen Brown,21-135,F-G,2018-03-08 *,BOS,@,MIN,W,1,28,4,10,.400,3,8,.375,1,2,.500,5,5,1.000,3,2,5,0,0,0,0,0,14,11.3
Jaylen Brown,21-099,F-G,2018-01-31 *,BOS,,NYK,W,1,28,6,14,.429,5,11,.455,1,3,.333,1,2,.500,0,4,4,3,0,0,0,1,14,9.1
Jaylen Brown,21-021,F-G,2017-11-14 *,BOS,@,BRK,W,1,31,5,9,.556,4,5,.800,1,4,.250,3,4,.750,0,4,4,3,3,0,2,2,14,12.8
Jaylen Brown,21-071,F-G,2018-01-03 *,BOS,,CLE,W,1,29,5,13,.385,4,7,.571,1,6,.167,3,3,1.000,1,7,8,4,2,0,1,2,14,12.7
Jaylen Brown,21-029,F-G,2017-11-22 *,BOS,@,MIA,L,1,31,6,10,.600,4,7,.571,2,3,.667,0,0,,0,3,3,1,1,0,3,6,14,6.6
Sterling Brown,22-344,G,2018-01-20 *,MIL,@,PHI,L,1,39,5,9,.556,1,2,.500,4,7,.571,0,1,.000,2,0,2,0,1,0,2,1,14,9.3
Reggie Bullock,26-346,G-F,2018-02-25 *,DET,@,CHO,L,1,30,5,14,.357,4,9,.444,1,5,.200,3,4,.750,1,2,3,5,0,0,1,2,14,8.8
Reggie Bullock,26-333,G-F,2018-02-12 *,DET,,NOP,L,1,30,4,13,.308,3,9,.333,1,4,.250,5,5,1.000,1,3,4,1,0,0,1,0,14,7.8
Reggie Bullock,27-008,G-F,2018-03-24 *,DET,,CHI,W,1,29,5,9,.556,1,2,.500,4,7,.571,0,0,,0,0,0,3,0,0,2,0,14,9.8
Reggie Bullock,26-318,G-F,2018-01-28 *,DET,@,CLE,L,1,30,4,8,.500,0,2,.000,4,6,.667,2,2,1.000,0,5,5,4,1,0,0,1,14,14.9
Reggie Bullock,27-013,G-F,2018-03-29 *,DET,,WAS,W,1,29,6,9,.667,4,5,.800,2,4,.500,0,0,,0,1,1,3,1,0,1,0,14,12.5
Reggie Bullock,26-296,G-F,2018-01-06 *,DET,,HOU,W,1,33,5,6,.833,2,2,1.000,3,4,.750,1,2,.500,1,1,2,2,0,0,0,2,14,13.0
Reggie Bullock,26-347,G-F,2018-02-26 *,DET,@,TOR,L,1,32,6,12,.500,4,7,.571,2,5,.400,0,0,,0,2,2,1,1,0,2,0,14,8.3
Reggie Bullock,26-281,G-F,2017-12-22 *,DET,,NYK,W,1,30,6,8,.750,4,5,.800,2,3,.667,0,0,,1,5,6,0,1,1,1,1,14,13.3
Trey Burke,25-084,G,2018-02-04 *,NYK,,ATL,L,0,20,6,10,.600,5,8,.625,1,2,.500,1,2,.500,0,2,2,2,1,0,0,3,14,10.8
Trey Burke,25-125,G,2018-03-17 *,NYK,,CHO,W,0,19,6,13,.462,4,9,.444,2,4,.500,0,0,,1,2,3,5,0,0,0,3,14,10.9
Alec Burks,26-153,G,2017-12-20 *,UTA,@,OKC,L,0,25,3,11,.273,2,7,.286,1,4,.250,7,8,.875,1,6,7,4,2,0,1,0,14,13.4
Alec Burks,26-131,G,2017-11-28 *,UTA,,DEN,W,0,20,4,10,.400,1,5,.200,3,5,.600,3,3,1.000,1,3,4,0,1,0,0,2,14,10.4
Jimmy Butler,28-113,F-G,2018-01-05 *,MIN,@,BOS,L,1,35,3,12,.250,3,9,.333,0,3,.000,8,10,.800,2,0,2,6,3,0,4,1,14,10.2
Jimmy Butler,28-067,F-G,2017-11-20 *,MIN,@,CHO,L,1,33,6,15,.400,5,11,.455,1,4,.250,1,1,1.000,3,4,7,0,1,0,1,2,14,8.4
Dwight Buycks,28-303,G,2018-01-03 *,DET,@,MIA,L,0,17,7,12,.583,7,11,.636,0,1,.000,0,0,,0,2,2,4,0,0,1,1,14,10.4
Jose Calderon,36-174,G,2018-03-21 *,CLE,,TOR,W,1,27,5,7,.714,1,3,.333,4,4,1.000,0,0,,0,1,1,4,0,0,2,2,14,11.4
Jose Calderon,36-053,G,2017-11-20 *,CLE,@,DET,W,1,28,4,5,.800,2,3,.667,2,2,1.000,4,4,1.000,0,4,4,2,1,0,1,2,14,13.9
Jose Calderon,36-164,G,2018-03-11 *,CLE,@,LAL,L,0,21,4,5,.800,3,3,1.000,1,2,.500,5,6,.833,0,1,1,2,1,0,2,3,14,11.2
Jose Calderon,36-075,G,2017-12-12 *,CLE,,ATL,W,1,32,5,7,.714,1,2,.500,4,5,.800,0,0,,0,1,1,4,1,0,0,2,14,14.4
Kentavious Caldwell-Pope,24-249,G,2017-10-25 *,LAL,,WAS,W,1,42,5,13,.385,2,5,.400,3,8,.375,1,1,1.000,0,6,6,5,2,0,3,4,14,9.6
Kentavious Caldwell-Pope,24-357,G,2018-02-10 *,LAL,@,DAL,L,1,35,5,8,.625,3,3,1.000,2,5,.400,2,4,.500,2,4,6,4,3,0,0,4,14,16.4
Kentavious Caldwell-Pope,24-303,G,2017-12-18 *,LAL,,GSW,L,1,41,4,17,.235,2,9,.222,2,8,.250,4,4,1.000,0,8,8,1,2,2,1,2,14,8.4
Kentavious Caldwell-Pope,24-323,G,2018-01-07 *,LAL,,ATL,W,1,23,5,8,.625,2,3,.667,3,5,.600,1,1,1.000,0,1,1,0,2,0,1,0,14,11.7
Kentavious Caldwell-Pope,24-314,G,2017-12-29 *,LAL,,LAC,L,1,34,6,11,.545,6,9,.667,0,2,.000,2,2,1.000,3,4,7,1,1,0,1,3,14,11.5
Kentavious Caldwell-Pope,24-257,G,2017-11-02 *,LAL,@,POR,L,1,34,5,10,.500,3,6,.500,2,4,.500,2,2,1.000,0,3,3,2,2,0,2,3,14,10.1
Clint Capela,23-158,C,2017-10-23 *,HOU,,MEM,L,1,25,7,9,.778,7,9,.778,0,0,,0,0,,1,5,6,0,1,2,0,5,14,13.1
Clint Capela,23-311,C,2018-03-25 *,HOU,,ATL,W,1,28,7,9,.778,7,9,.778,0,0,,0,0,,3,5,8,1,2,2,2,1,14,15.8
Clint Capela,23-233,C,2018-01-06 *,HOU,@,DET,L,1,28,7,15,.467,7,15,.467,0,0,,0,0,,6,5,11,0,0,2,3,2,14,9.6
Clint Capela,23-261,C,2018-02-03 *,HOU,@,CLE,W,1,25,6,10,.600,6,10,.600,0,0,,2,2,1.000,0,9,9,0,0,2,0,0,14,13.5
Clint Capela,23-271,C,2018-02-13 *,HOU,@,MIN,W,1,26,5,7,.714,5,7,.714,0,0,,4,6,.667,3,9,12,1,0,1,0,3,14,15.3
Clint Capela,23-249,C,2018-01-22 *,HOU,,MIA,W,1,26,6,10,.600,6,10,.600,0,0,,2,5,.400,3,5,8,2,1,0,0,2,14,13.4
Clint Capela,23-259,C,2018-02-01 *,HOU,@,SAS,W,1,35,6,10,.600,6,10,.600,0,0,,2,2,1.000,2,12,14,2,1,5,1,0,14,19.3
