Player,Age,Pos,Date,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
Kevin Durant,29-152,F-G,2018-02-28 *,GSW,@,WAS,W,1,37,12,20,.600,9,14,.643,3,6,.500,5,6,.833,0,6,6,4,0,0,3,3,32,22.8
Kevin Durant,29-108,F-G,2018-01-15 *,GSW,@,CLE,W,1,35,9,16,.563,5,10,.500,4,6,.667,10,10,1.000,0,5,5,8,3,1,3,3,32,31.0
Joel Embiid,23-242,C,2017-11-13 *,PHI,@,LAC,W,1,36,11,20,.550,10,15,.667,1,5,.200,9,16,.563,2,14,16,2,0,1,4,4,32,21.7
Tyreke Evans,28-043,G-F,2017-11-01 *,MEM,,ORL,L,0,34,13,20,.650,9,14,.643,4,6,.667,2,3,.667,0,3,3,4,2,0,5,4,32,21.9
Tyreke Evans,28-099,G-F,2017-12-27 *,MEM,@,LAL,W,1,32,8,17,.471,6,11,.545,2,6,.333,14,15,.933,0,7,7,7,0,0,2,2,32,27.1
Evan Fournier,25-079,G-F,2018-01-16 *,ORL,,MIN,W,1,35,12,22,.545,6,10,.600,6,12,.500,2,2,1.000,0,2,2,3,0,0,1,3,32,21.9
Blake Griffin,28-312,F,2018-01-22 *,LAC,,MIN,L,1,37,13,21,.619,11,13,.846,2,8,.250,4,7,.571,1,10,11,12,1,0,4,4,32,28.8
James Harden,28-203,G,2018-03-17 *,HOU,@,NOP,W,1,38,11,28,.393,7,15,.467,4,13,.308,6,8,.750,4,7,11,8,2,0,2,2,32,25.7
Gary Harris,23-170,G,2018-03-03 *,DEN,@,CLE,W,1,37,10,17,.588,4,7,.571,6,10,.600,6,6,1.000,1,1,2,4,1,0,0,1,32,28.5
Dwight Howard,32-103,C,2018-03-21 *,CHO,@,BRK,W,1,34,10,17,.588,10,17,.588,0,0,,12,21,.571,11,19,30,1,0,0,6,3,32,27.4
Brandon Ingram,20-088,F,2017-11-29 *,LAL,,GSW,L,1,44,12,21,.571,10,19,.526,2,2,1.000,6,7,.857,0,5,5,3,3,2,7,5,32,20.7
Kyrie Irving,25-256,G,2017-12-04 *,BOS,,MIL,W,1,34,13,24,.542,11,20,.550,2,4,.500,4,5,.800,1,3,4,1,2,0,3,2,32,20.5
Kyrie Irving,25-273,G,2017-12-21 *,BOS,@,NYK,L,1,37,12,27,.444,6,12,.500,6,15,.400,2,2,1.000,0,3,3,4,1,0,1,2,32,20.8
LeBron James,32-341,F-G,2017-12-06 *,CLE,,SAC,W,1,41,12,18,.667,7,10,.700,5,8,.625,3,6,.500,2,9,11,9,3,2,7,0,32,30.8
LeBron James,33-054,F-G,2018-02-22 *,CLE,,WAS,L,1,37,13,18,.722,12,14,.857,1,4,.250,5,9,.556,1,8,9,8,2,0,4,2,32,28.9
LeBron James,33-016,F-G,2018-01-15 *,CLE,,GSW,L,1,36,12,18,.667,12,16,.750,0,2,.000,8,13,.615,2,6,8,6,3,4,8,3,32,26.2
Jeremy Lamb,25-204,G-F,2017-12-20 *,CHO,,TOR,L,0,28,11,17,.647,9,15,.600,2,2,1.000,8,10,.800,1,2,3,2,0,1,1,1,32,25.7
Damian Lillard,27-135,G,2017-11-27 *,POR,@,NYK,W,1,38,10,20,.500,9,14,.643,1,6,.167,11,11,1.000,0,1,1,5,1,0,3,0,32,23.8
Damian Lillard,27-202,G,2018-02-02 *,POR,@,TOR,L,1,37,11,18,.611,8,11,.727,3,7,.429,7,8,.875,0,3,3,10,0,1,2,1,32,29.6
Damian Lillard,27-240,G,2018-03-12 *,POR,,MIA,W,1,37,8,19,.421,1,5,.200,7,14,.500,9,10,.900,1,4,5,10,0,0,3,0,32,27.4
Damian Lillard,27-110,G,2017-11-02 *,POR,,LAL,W,1,39,8,18,.444,6,12,.500,2,6,.333,14,14,1.000,2,4,6,5,0,0,2,2,32,25.9
Kevin Love,29-061,F,2017-11-07 *,CLE,,MIL,W,1,35,9,14,.643,9,14,.643,0,0,,14,16,.875,8,8,16,3,2,1,2,1,32,35.4
